Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
154,256,7.14844,0.26158,2.41016,0.50615,0.65256,0.65256
155,256,6.81250,0.24929,2.35938,0.49549,0.67496,0.67496
156,256,6.69922,0.24514,2.35547,0.49467,0.67793,0.67793
157,256,7.14062,0.26129,2.46094,0.51682,0.66404,0.66404
158,256,7.13672,0.26115,2.48047,0.52092,0.66432,0.66432
159,256,7.10156,0.25986,2.50781,0.52666,0.65911,0.65911
160,256,6.89062,0.25214,2.44141,0.51272,0.67977,0.67977
161,256,6.70703,0.24543,2.37109,0.49795,0.67579,0.67579
162,256,5.41797,0.19826,2.13672,0.44873,0.73612,0.73612
163,256,6.72266,0.24600,2.36328,0.49631,0.67159,0.67159
164,256,6.50781,0.23814,2.38281,0.50041,0.68398,0.68398
165,256,6.99609,0.25600,2.46484,0.51764,0.65318,0.65318
166,256,6.92578,0.25343,2.41797,0.50779,0.66173,0.66173
167,256,6.57812,0.24071,2.37891,0.49959,0.68074,0.68074
168,256,6.14062,0.22470,2.25781,0.47416,0.70197,0.70197
169,256,6.67578,0.24428,2.37891,0.49959,0.67561,0.67561
170,256,6.38281,0.23356,2.23438,0.46924,0.70211,0.70211
171,256,6.66016,0.24371,2.34766,0.49303,0.67749,0.67749
172,256,6.57422,0.24057,2.33203,0.48975,0.68322,0.68322
173,256,6.58594,0.24099,2.33203,0.48975,0.67751,0.67751
174,256,6.27344,0.22956,2.32812,0.48893,0.69580,0.69580
175,256,6.51562,0.23842,2.36719,0.49713,0.68679,0.68679
176,256,6.45312,0.23613,2.32422,0.48811,0.68824,0.68824
177,256,6.68359,0.24457,2.41016,0.50615,0.67770,0.67770
178,256,6.62500,0.24242,2.40625,0.50533,0.68538,0.68538
179,256,6.78516,0.24828,2.43359,0.51107,0.67130,0.67130
180,256,6.57422,0.24057,2.38672,0.50123,0.68352,0.68352
181,256,6.38281,0.23356,2.35156,0.49385,0.69265,0.69265
182,256,6.58984,0.24114,2.36328,0.49631,0.68519,0.68519
183,256,6.44531,0.23585,2.38672,0.50123,0.68296,0.68296
184,256,6.36719,0.23299,2.28125,0.47908,0.70325,0.70325
185,256,6.47266,0.23685,2.32422,0.48811,0.69331,0.69331
186,256,6.49219,0.23756,2.37891,0.49959,0.68522,0.68522
187,256,6.59375,0.24128,2.34375,0.49221,0.68595,0.68595
188,256,6.78125,0.24814,2.39453,0.50287,0.67648,0.67648
189,256,6.65625,0.24357,2.43359,0.51107,0.68792,0.68792
190,256,6.49219,0.23756,2.35938,0.49549,0.69210,0.69210
191,256,6.65234,0.24342,2.38672,0.50123,0.68545,0.68545
192,256,6.38672,0.23370,2.30859,0.48482,0.70112,0.70112
193,256,6.44531,0.23585,2.33594,0.49057,0.69768,0.69768
194,256,6.07812,0.22241,2.25781,0.47416,0.70860,0.70860
195,256,6.69531,0.24500,2.34766,0.49303,0.68131,0.68131
196,256,6.16016,0.22541,2.34766,0.49303,0.69645,0.69645
197,256,6.33594,0.23185,2.38672,0.50123,0.69423,0.69423
198,256,6.74219,0.24671,2.45312,0.51518,0.67729,0.67729
199,256,6.22266,0.22770,2.34766,0.49303,0.69258,0.69258
